                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.066,                 4.2684,                 1.2843,                0.44683,                 0.6394,                0.53172,                0.42511,                 0.8483,                 1.9997,                 1.1353,             0.00013178,             0.00013178,             0.00013178
                      2,                0.90567,                 1.8758,                 1.1232,                0.68168,                0.67487,                0.71565,                0.57135,                0.83992,                 1.4575,                 1.1464,             0.00026249,             0.00026249,             0.00026249
                      3,                0.91182,                 1.4021,                 1.1198,                 0.7646,                0.75534,                0.79073,                0.61588,                0.86923,                 1.1791,                 1.1363,             0.00039056,             0.00039056,             0.00039056
                      4,                0.90133,                 1.2154,                 1.1098,                0.77338,                0.67983,                0.78545,                0.62961,                0.84152,                 1.2065,                 1.1005,             0.00038812,             0.00038812,             0.00038812
                      5,                0.85531,                 1.0988,                 1.0865,                0.78703,                 0.7874,                0.82765,                0.63505,                0.90478,                 1.0585,                 1.1569,             0.00038416,             0.00038416,             0.00038416
                      6,                0.85982,                 1.0008,                   1.09,                0.84087,                0.83179,                 0.8847,                0.71353,                0.81216,                0.86213,                 1.0803,              0.0003802,              0.0003802,              0.0003802
                      7,                0.81191,                 0.9287,                 1.0683,                 0.8663,                0.81963,                0.87968,                  0.712,                0.80573,                0.80945,                 1.0782,             0.00037624,             0.00037624,             0.00037624
                      8,                0.83842,                0.84328,                 1.0648,                0.83308,                 0.8786,                0.90881,                 0.7213,                0.78169,                0.73301,                  1.045,             0.00037228,             0.00037228,             0.00037228
                      9,                0.80285,                0.87362,                 1.0674,                0.85367,                0.86765,                0.91029,                0.72743,                0.79411,                0.76299,                 1.0423,             0.00036832,             0.00036832,             0.00036832
                     10,                0.81295,                 0.8194,                 1.0625,                0.86302,                0.87097,                0.90793,                0.72931,                0.79758,                0.68473,                 1.0501,             0.00036436,             0.00036436,             0.00036436
                     11,                 0.7945,                0.79268,                  1.049,                0.85136,                0.87283,                0.91321,                0.74373,                0.74216,                0.65602,                 1.0371,              0.0003604,              0.0003604,              0.0003604
                     12,                0.77835,                0.74066,                 1.0401,                0.92092,                0.88397,                0.93087,                 0.7592,                0.75765,                0.62251,                 1.0235,             0.00035644,             0.00035644,             0.00035644
                     13,                0.78621,                0.74693,                 1.0381,                0.92402,                 0.8708,                0.92766,                0.75496,                0.74521,                0.61052,                  1.024,             0.00035248,             0.00035248,             0.00035248
                     14,                0.77714,                0.75026,                  1.038,                 0.8921,                0.87726,                0.92514,                0.76008,                0.73853,                0.60121,                 1.0288,             0.00034852,             0.00034852,             0.00034852
                     15,                0.73664,                 0.6542,                 1.0202,                0.89834,                0.88121,                0.93211,                0.76644,                0.72935,                0.62282,                 1.0097,             0.00034456,             0.00034456,             0.00034456
                     16,                 0.7643,                0.69349,                 1.0378,                0.93116,                0.89841,                0.94005,                0.77187,                0.73089,                 0.5427,                 1.0178,              0.0003406,              0.0003406,              0.0003406
                     17,                0.73687,                0.66548,                 1.0237,                0.85896,                0.86802,                 0.8933,                0.74472,                0.71373,                0.70754,                 1.0047,             0.00033664,             0.00033664,             0.00033664
                     18,                0.72858,                0.65541,                 1.0161,                0.89174,                0.88043,                0.91901,                0.76227,                0.72151,                0.65192,                 1.0068,             0.00033268,             0.00033268,             0.00033268
                     19,                0.72834,                0.63643,                 1.0142,                0.90682,                0.87486,                0.93126,                0.77185,                 0.7216,                0.59305,                 1.0019,             0.00032872,             0.00032872,             0.00032872
                     20,                0.72267,                0.63747,                 1.0137,                0.86643,                0.88836,                0.91998,                0.75863,                 0.7274,                0.63205,                 1.0201,             0.00032476,             0.00032476,             0.00032476
                     21,                0.72366,                0.63407,                 1.0075,                0.91112,                0.89222,                0.93739,                0.77788,                0.69786,                 0.5835,                0.99017,              0.0003208,              0.0003208,              0.0003208
                     22,                0.71336,                0.61136,                  1.008,                0.91208,                0.89203,                0.93837,                0.77556,                0.71268,                0.58649,                 1.0007,             0.00031684,             0.00031684,             0.00031684
                     23,                0.69812,                 0.5987,                 1.0064,                0.91962,                0.90581,                0.93864,                0.77798,                0.71696,                0.54213,                 1.0016,             0.00031288,             0.00031288,             0.00031288
                     24,                0.69285,                0.59162,                 1.0012,                0.90159,                    0.9,                0.92116,                0.77079,                0.68836,                0.57769,                0.98788,             0.00030892,             0.00030892,             0.00030892
                     25,                0.69374,                0.59857,                 1.0011,                0.85712,                0.88819,                0.92897,                0.78026,                 0.6921,                0.59407,                0.99477,             0.00030496,             0.00030496,             0.00030496
                     26,                0.68846,                 0.5647,                0.98892,                0.90394,                0.88545,                0.93256,                0.77286,                0.71275,                0.56751,                 1.0158,               0.000301,               0.000301,               0.000301
                     27,                0.68796,                0.56089,                 0.9955,                0.90877,                 0.8844,                0.92494,                0.77749,                0.68906,                0.55792,                 1.0014,             0.00029704,             0.00029704,             0.00029704
                     28,                0.67669,                0.55739,                0.98795,                0.89963,                0.89665,                 0.9262,                0.77221,                0.70232,                0.57579,                 1.0012,             0.00029308,             0.00029308,             0.00029308
                     29,                0.68408,                0.56304,                 1.0005,                0.93209,                0.89523,                0.93734,                0.78187,                0.70301,                0.52951,                0.99111,             0.00028912,             0.00028912,             0.00028912
                     30,                0.66998,                0.52922,                0.98935,                0.91779,                0.91203,                0.94568,                0.78877,                0.71613,                0.50536,                 1.0101,             0.00028516,             0.00028516,             0.00028516
                     31,                0.67429,                0.54695,                0.98945,                0.91731,                0.88432,                0.93523,                0.78998,                0.67533,                0.53755,                0.98782,              0.0002812,              0.0002812,              0.0002812
                     32,                0.68566,                0.53131,                 1.0056,                0.93405,                0.93998,                0.96129,                0.80556,                0.69183,                0.45431,                0.99101,             0.00027724,             0.00027724,             0.00027724
                     33,                0.65368,                0.53313,                0.98492,                0.93078,                0.92295,                0.94672,                 0.8018,                0.69072,                0.48513,                0.98526,             0.00027328,             0.00027328,             0.00027328
                     34,                0.67184,                0.52997,                0.99505,                0.91559,                0.91164,                0.95132,                0.80456,                 0.6734,                0.47628,                0.98245,             0.00026932,             0.00026932,             0.00026932
